"","DailyDrift"
"ADS",0.00200312137375915
"AIR",0.00087455160362773
"ALV",0.00113399221505594
"BAS",-0.000181797355403399
"BAYN",-0.0036534536437348
"BMW",-0.000398852245799118
"BNR",0.000871141746727748
"CON",0.00114114713482835
"X1COV",0.00242049965884055
"DBK",0.00154981449386501
"DB1",0.000635199353837814
"DTE",0.000506913299736172
"DHL",0.000263147676791945
"EOAN",0.000457155571509767
"FRE",0.00112016675244702
"HEI",0.000965581944240954
"HEN3",-0.00020663067580724
"IFX",0.00041222465999942
"MBG",-0.00112890044093829
"MRK",-5.3310415402215e-06
"MTX",-0.000861324143236329
"MUV2",0.00124254321910824
"PAH3",-0.00067801113787085
"QIA",-0.000792862256493867
"RWE",0.000123680365501181
"SAP",0.00140766405845952
"SRT3",6.44926399094473e-05
"SIE",0.000147404278132092
"SHL",0.000102738218063248
"SY1",0.000332102293488373
"VOW3",-0.000627194354783778
"VNA",0.0033537011747658
"ZAL",-0.00116972720866298
"RHM",0.0013214672898514
"CBK",0.00171676524126594
"P911",-0.00227866564006243
"ENR",-0.00419037658235328
"BEI",0.000628194735203656
"DTG",0.000802745888108917
"HNR1",0.000752521545248987
