"","DailyVolatility"
"ADS",0.0195101569536308
"AIR",0.0115519628717091
"ALV",0.00964261485192371
"BAS",0.0156637976006717
"BAYN",0.0202205236540257
"BMW",0.0134727415278545
"BNR",0.0116737860616075
"CON",0.0167579286103138
"X1COV",0.0205684470123475
"DBK",0.0156242936182603
"DB1",0.0103159217694922
"DTE",0.0114562152883811
"DHL",0.0130526999170624
"EOAN",0.00966913329840778
"FRE",0.0168535117680141
"HEI",0.0148910437565032
"HEN3",0.00861843295877503
"IFX",0.0217055925337785
"MBG",0.0123095363969726
"MRK",0.0153514860315049
"MTX",0.0198213014775703
"MUV2",0.00929789211438051
"PAH3",0.0120314646138633
"QIA",0.0126717489922969
"RWE",0.0122802725178172
"SAP",0.0122486850290921
"SRT3",0.0318219090347614
"SIE",0.0151976508209714
"SHL",0.0139748479455916
"SY1",0.0134792159777916
"VOW3",0.0117590636199808
"VNA",0.0254820434972657
"ZAL",0.0303672397104886
"RHM",0.0167677014441245
"CBK",0.0193317357230329
"P911",0.0152998971997388
"ENR",0.053586391765912
"BEI",0.00893946003553703
"DTG",0.0127469558278194
"HNR1",0.0116316301688949
